"Onderwerp","Perioden","Totalen","Regio's"
"Bbp, volumemutaties in percentages","2003","-0,2","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2003","-0,5","Groningen (PV)"
"Bbp, volumemutaties in percentages","2003","0,2","Nederland"
"Bbp, volumemutaties in percentages","2003","1,6","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2004","0,9","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2004","1,2","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2004","1,9","Groningen (PV)"
"Bbp, volumemutaties in percentages","2004","2,0","Nederland"
"Bbp, volumemutaties in percentages","2005","-0,8","Groningen (PV)"
"Bbp, volumemutaties in percentages","2005","1,2","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2005","2,1","Nederland"
"Bbp, volumemutaties in percentages","2005","2,3","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2006","0,2","Groningen (PV)"
"Bbp, volumemutaties in percentages","2006","2,4","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2006","2,8","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2006","3,5","Nederland"
"Bbp, volumemutaties in percentages","2007","0,9","Groningen (PV)"
"Bbp, volumemutaties in percentages","2007","3,8","Nederland"
"Bbp, volumemutaties in percentages","2007","4,0","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2007","4,2","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2008","1,6","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2008","1,9","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2008","2,2","Nederland"
"Bbp, volumemutaties in percentages","2008","3,0","Groningen (PV)"
"Bbp, volumemutaties in percentages","2009","-2,7","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2009","-3,7","Nederland"
"Bbp, volumemutaties in percentages","2009","-4,5","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2009","-4,5","Groningen (PV)"
"Bbp, volumemutaties in percentages","2010","-0,2","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2010","0,8","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2010","1,3","Nederland"
"Bbp, volumemutaties in percentages","2010","4,3","Groningen (PV)"
"Bbp, volumemutaties in percentages","2011","-1,1","Groningen (PV)"
"Bbp, volumemutaties in percentages","2011","0,6","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2011","1,6","Nederland"
"Bbp, volumemutaties in percentages","2011","3,0","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2012","-1,0","Nederland"
"Bbp, volumemutaties in percentages","2012","-1,2","Groningen (PV)"
"Bbp, volumemutaties in percentages","2012","-1,5","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2012","-2,3","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2013","-0,1","Nederland"
"Bbp, volumemutaties in percentages","2013","-0,7","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2013","-1,6","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2013","3,3","Groningen (PV)"
"Bbp, volumemutaties in percentages","2014","-2,8","Groningen (PV)"
"Bbp, volumemutaties in percentages","2014","0,9","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2014","1,4","Nederland"
"Bbp, volumemutaties in percentages","2014","1,6","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2015","-1,4","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2015","-1,7","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2015","-5,3","Groningen (PV)"
"Bbp, volumemutaties in percentages","2015","2,0","Nederland"
"Bbp, volumemutaties in percentages","2016","-0,3","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2016","1,2","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2016","2,2","Groningen (PV)"
"Bbp, volumemutaties in percentages","2016","2,2","Nederland"
"Bbp, volumemutaties in percentages","2017","-0,4","Groningen (PV)"
"Bbp, volumemutaties in percentages","2017","1,4","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2017","1,8","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2017","2,9","Nederland"
"Bbp, volumemutaties in percentages","2018","-2,7","Groningen (PV)"
"Bbp, volumemutaties in percentages","2018","1,6","Fryslân (PV)"
"Bbp, volumemutaties in percentages","2018","1,8","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2018","2,4","Nederland"
"Bbp, volumemutaties in percentages","2019","-1,0","Groningen (PV)"
"Bbp, volumemutaties in percentages","2019","0,5","Drenthe (PV)"
"Bbp, volumemutaties in percentages","2019","2,0","Nederland"
"Bbp, volumemutaties in percentages","2019","3,0","Fryslân (PV)"
